City_ID,City,City_ID,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
338,Bundaberg,338,au,80.6,broken clouds,-24.85,152.35,Takalvan Motel
339,Mar Del Plata,339,ar,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
340,Gouyave,340,gd,77.27,scattered clouds,12.1646,-61.7296,Rumboat Retreat
342,Hobyo,342,so,79.38,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
343,Muisne,343,ec,77.43,overcast clouds,0.6,-80.0333,Quinta Samay
344,Salalah,344,om,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
346,Sao Joao Da Barra,346,br,71.31,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
352,Bandarbeyla,352,so,75.25,broken clouds,9.4942,50.8122,JABIR HOTEL
353,Maltahohe,353,na,63.63,few clouds,-24.8333,16.9833,Maltahöhe Hotel
354,Carballo,354,es,71.6,clear sky,43.213,-8.691,Pazo do Souto
355,Lompoc,355,us,63.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
356,Wahiawa,356,us,82.4,few clouds,21.5028,-158.0236,Aloha Wahiawa
358,Souillac,358,mu,75.2,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
359,Diu,359,in,80.1,clear sky,20.7141,70.9822,Hotel Relax Inn
360,Dickinson,360,us,64.4,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
361,Chumphon,361,th,87.01,few clouds,10.3333,98.8333,สกาน จ๋า.
363,Sa Kaeo,363,th,94.57,clear sky,13.75,102.3333,บ้านร่มฉัตร รีสอร์ท
365,Tura,365,ru,77.67,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
366,Saint-Pierre,366,pm,78.8,light rain,-21.3393,55.4781,Lindsey Hôtel
370,Ewa Beach,370,us,82.4,few clouds,21.3156,-158.0072,Uncle Junior Robert
371,Muros,371,es,68.0,clear sky,42.7762,-9.0603,Apartment Av. Castelao
372,Kruisfontein,372,za,64.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
376,Netrakona,376,bd,80.6,broken clouds,24.8833,90.7167,kurpar gas office
379,Isangel,379,vu,83.48,overcast clouds,-19.55,169.2667,Volcano Sea View Tree House
380,Doha,380,qa,77.0,clear sky,25.2867,51.5333,Doha Marriott Hotel
383,Galesong,383,id,75.2,moderate rain,-5.3166,119.3661,Sapriadi Appy
