City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
241,Kipushi,-11.7667,27.2333,57.67,99,34,4.18,scattered clouds
242,Port Hedland,-20.3167,118.5667,93.2,22,0,16.11,clear sky
243,Adrar,20.5022,-10.0711,82.06,8,100,10.09,overcast clouds
244,Butaritari,3.0707,172.7902,82.63,77,18,15.03,few clouds
245,Dolores,-36.3132,-57.6792,56.19,79,59,6.71,broken clouds
246,Paka,4.6374,103.4368,78.8,94,40,1.61,scattered clouds
247,Sayyan,15.1718,44.3244,54.63,26,15,2.1,few clouds
248,Gorontalo,0.5412,123.0595,89.64,57,100,2.84,overcast clouds
249,Mecca,21.4267,39.8261,72.99,60,12,4.92,few clouds
250,Innisfail,-17.5333,146.0333,79.59,70,57,16.8,broken clouds
251,Salinas,36.6777,-121.6555,78.8,22,1,11.5,clear sky
252,Morgan Hill,37.1305,-121.6544,80.6,17,1,9.22,clear sky
253,Olafsvik,64.8945,-23.7142,41.2,89,100,22.57,overcast clouds
254,Chokurdakh,70.6333,147.9167,5.54,92,74,5.3,broken clouds
255,Esperance,-33.8667,121.9,69.8,73,3,6.91,clear sky
256,Carnarvon,-24.8667,113.6333,84.2,70,0,10.36,clear sky
257,Tiarei,-17.5333,-149.3333,86.0,66,20,6.91,moderate rain
258,Kahului,20.8947,-156.47,80.6,61,40,21.85,scattered clouds
259,Ulundi,-28.3352,31.4162,61.74,76,51,2.01,broken clouds
260,Shache,38.4167,77.2406,46.8,40,0,6.91,clear sky
261,Udachnyy,66.4167,112.4,-9.87,85,100,11.72,overcast clouds
262,Ilulissat,69.2167,-51.1,15.8,73,75,2.3,broken clouds
263,Zyryanka,65.75,150.85,13.64,80,96,8.77,overcast clouds
264,Koumac,-20.5667,164.2833,81.18,67,100,14.43,overcast clouds
265,Filingue,14.3521,3.3168,73.29,9,0,9.42,clear sky
266,Bend,44.0582,-121.3153,71.6,8,1,4.54,clear sky
267,College,64.8569,-147.8028,27.0,74,90,18.41,light snow
268,Ponta Delgada,37.7333,-25.6667,55.4,82,20,8.05,few clouds
269,Auki,-8.7676,160.7034,82.4,76,99,2.35,overcast clouds
270,Codrington,-38.2667,141.9667,80.35,30,96,9.42,overcast clouds
271,Hobyo,5.3505,48.5268,79.34,74,27,7.27,scattered clouds
272,Ayagoz,47.9714,80.4392,28.31,78,74,9.06,broken clouds
273,Mihara,34.4,133.0833,57.2,41,0,5.75,clear sky
274,Tiznit,29.5833,-9.5,59.59,62,0,1.43,clear sky
275,Gokak,16.1667,74.8333,62.6,67,64,5.03,broken clouds
276,Phonhong,18.5007,102.4166,80.6,83,0,4.61,mist
277,Miranda,3.2499,-76.2281,77.0,69,40,11.5,scattered clouds
278,Chapais,49.7834,-74.8492,19.4,79,90,8.05,overcast clouds
279,Ishigaki,24.3448,124.1572,80.6,89,40,12.66,scattered clouds
280,Rendsburg,54.3,9.6667,48.99,81,40,4.61,scattered clouds
281,Sungaipenuh,-2.0833,101.3833,71.2,70,100,5.66,overcast clouds
282,Acapulco,16.8634,-99.8901,82.4,78,1,9.22,clear sky
283,Carlisle,40.2015,-77.1889,55.0,94,100,15.12,overcast clouds
284,Kloulklubed,7.0419,134.2556,84.2,79,75,5.75,broken clouds
285,Goure,13.9835,10.2704,73.0,12,0,5.99,clear sky
286,Khasan,42.4308,130.6434,48.61,62,0,3.33,clear sky
287,Nagtipunan,16.2167,121.6,87.1,51,35,2.89,scattered clouds
288,Kabanjahe,3.1001,98.4908,80.6,83,40,6.91,scattered clouds
289,Athabasca,54.7169,-113.2854,50.0,45,100,2.3,overcast clouds
290,Roebourne,-20.7833,117.1333,91.69,25,0,10.76,clear sky
291,Evensk,61.95,159.2333,22.78,83,89,5.7,overcast clouds
292,Ustye,59.6304,39.736,31.96,90,77,7.02,broken clouds
293,Lompoc,34.6391,-120.4579,66.99,52,0,12.66,clear sky
294,Aykhal,66.0,111.5,-12.21,90,100,15.12,overcast clouds
295,Narsaq,60.9167,-46.05,32.0,80,75,7.81,light snow
296,Niwari,28.8833,77.5333,66.2,32,0,6.91,smoke
297,Kysyl-Syr,63.8986,122.7617,18.52,84,89,5.55,overcast clouds
298,Blytheville,35.9273,-89.919,51.8,61,1,9.22,clear sky
299,Ekhabi,53.5102,142.9671,31.59,86,9,10.74,clear sky
300,Bastia,42.6667,9.3333,57.99,66,0,4.61,clear sky
301,Axim,4.8699,-2.2405,78.82,88,30,6.31,scattered clouds
302,High Prairie,55.4334,-116.4858,42.8,52,100,6.91,overcast clouds
303,Komsomolskiy,40.4272,71.7189,46.4,61,40,11.5,scattered clouds
304,Mehamn,71.0357,27.8492,33.08,97,100,10.29,light snow
305,Longyearbyen,78.2186,15.6401,28.4,74,75,17.27,light snow
306,Kaputa,-8.4689,29.6619,65.14,92,52,0.76,broken clouds
307,Asau,46.4333,26.4,46.0,49,100,2.28,overcast clouds
308,Provideniya,64.3833,-173.3,8.6,61,0,4.47,clear sky
309,Gravdal,68.1214,13.5031,38.97,73,100,16.28,overcast clouds
310,Necochea,-38.5473,-58.7368,59.0,86,99,5.01,overcast clouds
311,Pemba,-12.974,40.5178,75.0,83,20,8.05,few clouds
312,Blagoyevo,63.3667,47.9167,32.11,88,100,8.5,overcast clouds
313,Amahai,-3.3333,128.9167,86.18,66,96,1.52,overcast clouds
314,Veraval,20.9,70.3667,77.58,80,5,9.69,clear sky
315,Pentecoste,-3.7928,-39.2703,82.0,79,100,13.0,overcast clouds
316,Labuhan,-6.8844,112.2051,82.06,78,95,4.12,overcast clouds
317,Sitka,57.0531,-135.33,37.4,81,90,11.5,snow
318,Honiara,-9.4333,159.95,83.17,78,94,3.83,overcast clouds
319,Bambanglipuro,-7.95,110.2833,83.07,77,96,0.81,overcast clouds
320,Atasu,48.6814,71.6433,17.1,90,78,8.59,broken clouds
321,De Aar,-30.6497,24.0123,64.85,50,41,7.52,scattered clouds
322,Tarakan,3.3,117.6333,79.93,78,99,4.07,overcast clouds
323,Bella Union,-30.2752,-57.6007,60.64,66,0,6.44,clear sky
