City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
281,Placido De Castro,BR,2020-10-04 18:43:01,-10.34,-67.19,97.86,33,100,1.32
282,Lishui,CN,2020-10-04 18:41:56,28.46,119.91,64.83,87,100,4.52
283,Mackay,AU,2020-10-04 18:43:01,-21.15,149.2,71.6,73,75,16.11
284,Thinadhoo,MV,2020-10-04 18:43:02,0.53,72.93,83.21,70,84,6.82
285,Aitape,PG,2020-10-04 18:43:02,-3.14,142.35,77.52,85,100,3.8
286,Altus,US,2020-10-04 18:43:03,34.64,-99.33,73.4,33,1,7.18
287,Tashtagol,RU,2020-10-04 18:43:04,52.77,87.89,39.97,79,100,2.66
288,Victoria,HK,2020-10-04 18:41:12,22.29,114.16,82.99,84,45,1.01
289,Svetlaya,RU,2020-10-04 18:43:04,46.54,138.33,51.4,77,100,9.01
290,Shahrud,IR,2020-10-04 18:43:04,36.42,54.98,59.09,41,16,5.17
291,Salon-De-Provence,FR,2020-10-04 18:43:04,43.64,5.1,60.8,76,75,9.64
292,Marovoay,MG,2020-10-04 18:43:05,-16.1,46.63,78.8,83,20,11.41
293,Kaeo,NZ,2020-10-04 18:43:05,-35.1,173.78,50.0,93,0,1.74
294,Tavatuy,RU,2020-10-04 18:43:06,57.07,60.13,37.4,59,40,6.71
295,Tenosique,MX,2020-10-04 18:43:06,17.48,-91.43,82.4,65,75,11.41
296,Terebovlya,UA,2020-10-04 18:43:06,49.3,25.71,68.0,79,1,5.01
297,Yanam,IN,2020-10-04 18:43:06,16.73,82.22,76.53,93,100,7.31
298,Labuhan,ID,2020-10-04 18:43:07,-6.88,112.21,78.78,76,75,12.44
299,Te Anau,NZ,2020-10-04 18:43:07,-45.42,167.72,50.47,86,71,9.6
300,Ust-Kuyga,RU,2020-10-04 18:43:07,70.02,135.6,26.22,96,100,4.27
301,Guiratinga,BR,2020-10-04 18:43:07,-16.35,-53.76,106.12,10,42,6.22
